                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.1323,                 4.5354,                 3.6653,                0.35966,                0.17294,                0.02435,                0.00793,                 2.4379,                  7.538,                 2.9012,             0.00047533,             0.00047533,             0.00047533
                      2,                 2.2689,                 2.9647,                 2.5871,                0.69394,                0.48163,                0.54019,                0.28258,                 1.9005,                 2.3796,                 2.2571,             0.00087919,             0.00087919,             0.00087919
                      3,                 1.8919,                 2.2328,                 2.1762,                0.69754,                0.53065,                0.61627,                0.35325,                 1.7031,                 2.0948,                 2.0318,              0.0012105,              0.0012105,              0.0012105
                      4,                 1.5832,                  1.607,                 1.9296,                0.81597,                0.63398,                0.71747,                0.44703,                 1.5615,                 1.4446,                 1.8668,              0.0011025,              0.0011025,              0.0011025
                      5,                 1.4801,                 1.3478,                 1.8122,                0.84859,                 0.6437,                0.74665,                0.49457,                   1.44,                 1.2858,                 1.7418,              0.0009937,              0.0009937,              0.0009937
                      6,                 1.4154,                 1.2095,                 1.7296,                0.88738,                0.65567,                0.76183,                0.50808,                 1.4132,                 1.1975,                 1.7096,             0.00088488,             0.00088488,             0.00088488
                      7,                 1.3589,                 1.1024,                 1.6839,                0.89211,                0.66718,                0.79199,                0.51723,                 1.4107,                 1.0996,                 1.6865,             0.00077606,             0.00077606,             0.00077606
                      8,                 1.3108,                 1.0251,                 1.6319,                0.89845,                0.70517,                0.81178,                0.53738,                 1.3401,                  1.014,                 1.6245,             0.00066723,             0.00066723,             0.00066723
                      9,                 1.2868,                0.97677,                 1.5907,                0.89115,                0.74534,                0.83608,                0.56673,                 1.3218,                0.98077,                 1.6105,             0.00055841,             0.00055841,             0.00055841
                     10,                 1.2596,                0.92368,                 1.5577,                0.92624,                0.73451,                0.85736,                0.57894,                 1.2799,                0.91546,                 1.5717,             0.00044959,             0.00044959,             0.00044959
                     11,                 1.2241,                0.87645,                 1.5464,                0.92477,                0.75845,                0.86159,                0.59107,                   1.28,                0.85772,                  1.566,             0.00034076,             0.00034076,             0.00034076
                     12,                 1.1904,                0.82981,                 1.5107,                0.94294,                0.75072,                0.86852,                0.60602,                 1.2351,                0.82455,                 1.5247,             0.00023194,             0.00023194,             0.00023194
                     13,                 1.1688,                0.79763,                 1.4844,                  0.917,                0.77699,                0.87168,                 0.6039,                 1.2457,                0.81747,                 1.5293,             0.00012311,             0.00012311,             0.00012311
